specimen,hook,length,base
t1.56,9,76.53,21.83
t1.56,10,77.29,23
t1.56,11,78.26,22.33
t1.56,12,75.88,23.51
t1.56,13,71.54,18.86
t1.56,14,64.66,16.45
t1.57,1,57.94,14.83
t1.57,2,65.38,17.77
t1.57,3,71.08,19.48
t1.57,4,74.45,17.87
t1.57,5,75.47,20.34
t1.57,6,74.64,22.11
t1.57,7,76.86,23.64
t1.57,8,75.37,22.77
t1.57,9,72.58,23.97
t1.57,10,73.13,26.6
t1.57,11,72.78,26.19
t1.57,12,69.43,24.95
t1.57,13,65.74,20.72
t1.57,14,59.93,15.75
t1.60,1,71.65,13.43
t1.60,2,75.69,19.59
t1.60,3,76.98,19.33
t1.60,4,80.15,20.17
t1.60,5,79.04,21.35
t1.60,6,76.85,20.61
t1.60,7,77.63,21.72
t1.60,8,78.5,21.94
t1.60,9,79.25,23.28
t1.60,10,77.94,23.72
t1.60,11,78.88,24.63
t1.60,12,77.67,22.84
t1.60,13,70.28,19.23
t1.60,14,60.47,11.66
t1.61,1,63.57,11.13
t1.61,2,68.05,16.41
t1.61,3,73.15,20.4
t1.61,4,74.41,21.36
t1.61,5,74.61,22.77
t1.61,6,70.47,19.46
t1.61,7,72.83,22.28
t1.61,8,69.66,21.82
t1.61,9,70.14,23.72
t1.61,10,71.38,24.59
t1.61,11,69.28,24.31
t1.61,12,64.71,23
t1.61,13,53.74,16.1
t1.64,1,64.86,13.84
t1.64,2,65.66,14.13
t1.64,3,67.4,15.97
t1.64,4,64.75,15.7
t1.64,5,70.09,17.77
t1.64,6,69.83,19.23
t1.64,7,70.81,18.6
t1.64,8,70.96,21.2
t1.64,9,69.78,20.21
t1.64,10,69.19,21.31
t1.64,11,69.65,20.8
t1.64,12,69.23,22.04
t1.64,13,68,21.51
t1.64,14,61.7,13.57
t1.65,1,73.99,16.81
t1.65,2,76.85,19.3
t1.65,3,76.99,19.83
t1.65,4,78.09,21.44
t1.65,5,77.39,21.7
t1.65,6,78.08,22.48
t1.65,7,74.73,21.18
t1.65,8,76.44,25.15
t1.65,9,72.63,24.78
t1.65,10,73.99,25.66
t1.65,11,75.2,26.28
t1.65,12,71.14,22.25
t1.65,13,61.91,14.85
t1.66,1,67.79,12.75
t1.66,2,73.03,19.23
t1.66,3,76.16,18.04
t1.66,4,75.1,22.31
t1.66,5,78.74,20.31
t1.66,6,75.74,19.85
t1.66,7,76.91,21.44
t1.66,8,77.08,21.54
t1.66,9,73.61,20.8
t1.66,10,76.17,23.54
t1.66,11,69.21,23.66
t1.66,12,73.26,23.61
t1.66,13,66.87,22.22
t1.66,14,65.25,13.46
t1.67,1,65.9,14.46
t1.67,2,72.88,16.91
t1.67,3,75.04,17.52
t1.67,4,75,21.04
t1.67,5,73.29,19.65
t1.67,6,73.33,21.44
t1.67,7,73.87,21.64
t1.67,8,72.1,19.85
t1.67,9,75.34,21.14
t1.67,10,72.69,21.03
t1.67,11,69.95,21.44
t1.67,12,61.12,15.88
t1.68,1,63.98,14.25
t1.68,2,71.01,18.33
t1.68,3,70.5,17.63
t1.68,4,70.75,19.97
t1.68,5,71.72,20.8
t1.68,6,72.37,19.2
t1.68,7,69.07,19.57
t1.68,8,71.34,21.32
t1.68,9,71.41,20.89
t1.68,10,70.66,22.11
t1.68,11,70.87,20.85
t1.68,12,60.92,15.33
t1.68,13,55.61,13.19
t1.69,1,64.39,15.06
t1.69,2,69.96,17.31
t1.69,3,71.59,17.76
t1.69,4,74.37,17.73
t1.69,5,74.68,20.85
