specimen,hook,length,base
t2.17,1,71.51,15.35
t2.17,2,77.98,19.53
t2.17,3,81.96,18.93
t2.17,4,81.3,21.78
t2.17,5,80.64,21.37
t2.17,6,75.12,20.88
t2.17,7,75.8,19.73
t2.17,8,77.51,20.82
t2.17,9,76.01,20.71
t2.17,10,74.25,22.89
t2.17,11,78.25,23.84
t2.17,12,70.17,20.66
t2.17,13,61.1,13.22
t2.20,1,67.96,17.28
t2.20,2,72.11,18.56
t2.20,3,75.63,20.18
t2.20,4,75.4,21.32
t2.20,5,79.33,21.82
t2.20,6,77.66,23.48
t2.20,7,78.09,22.79
t2.20,8,75.46,22.54
t2.20,9,76.04,22.93
t2.20,10,75.28,23.64
t2.20,11,72.93,22.22
t2.20,12,71.02,21.14
t2.20,13,62.93,13.76
t2.20,14,56.49,12.69
t3.01,1,69.79,15.49
t3.01,2,77.39,18.86
t3.01,3,82.08,21.04
t3.01,4,80.93,22.68
t3.01,5,76.94,22.09
t3.01,6,78,20.93
t3.01,7,77.26,22.82
t3.01,8,73.84,20.7
t3.01,9,73.03,21.44
t3.01,10,71.52,22.01
t3.01,11,69.8,20.34
t3.01,12,65.23,16.39
t3.01,13,58.76,14.62
t3.02,1,73.32,18.51
t3.02,2,78.72,18.3
t3.02,3,77.77,18.93
t3.02,4,77.57,19.41
t3.02,5,76.5,19.73
t3.02,6,74.62,21.57
t3.02,7,73.86,20.6
t3.02,8,74.9,23.24
t3.02,9,74.27,22.74
t3.02,10,70.14,21.88
t3.02,11,73.62,21.75
t3.02,12,64.37,17.09
t3.02,13,46.85,11.9
t3.03,1,77.63,13.96
t3.03,2,84.12,18.84
t3.03,3,90.97,22.11
t3.03,4,84.28,24.51
t3.03,5,85.02,23.27
t3.03,6,81.16,24.51
t3.03,7,79.28,24.48
t3.03,8,77.65,23.43
t3.03,9,78.07,24.42
t3.03,10,75.6,24.45
t3.03,11,72.78,22.67
t3.03,12,66.28,19.84
t3.03,13,62.72,17.95
t3.04,1,62.57,16.07
t3.04,2,71.14,19.3
t3.04,3,73.38,20.87
t3.04,4,73.53,22.19
t3.04,5,73.57,22.35
t3.04,6,73.26,22.1
t3.04,7,74.07,21.35
t3.04,8,73.61,22.31
t3.04,9,70.99,22.13
t3.04,10,68.11,23.44
t3.04,11,68.11,22.13
t3.04,12,61.05,18.56
t3.04,13,58.24,15.39
t3.06,1,65.61,17.05
t3.06,2,60.88,15.62
t3.06,3,62.01,15.9
t3.06,4,64.07,17.44
t3.06,5,66.16,16.42
t3.06,6,66.16,17.8
t3.06,7,67.55,20.34
t3.06,8,66.43,18.81
t3.06,9,67.59,19.85
t3.06,10,65.69,20.86
t3.06,11,66.02,21.2
t3.06,12,61.93,21.45
t3.06,13,60.44,17.01
t2.14,1,67.81,15.73
t2.14,2,77.02,16.82
t2.14,3,75.7,17.09
t2.14,4,78.81,19.65
t2.14,5,76.49,18.61
t2.14,6,77.34,20.13
t2.14,7,75.62,21
t2.14,8,72.76,17.63
t2.14,9,73.64,18.51
t2.14,10,71.86,20.05
t2.14,11,69.36,18.05
t2.14,12,69.74,19.66
t2.14,13,67.19,17.77
t2.14,14,42.63,11.7
t3.08,1,73.57,16.44
t3.08,2,79.66,19.76
t3.08,3,77.47,18.27
t3.08,4,79.62,19.53
t3.08,5,80.78,19.53
t3.08,6,79.97,21.01
t3.08,7,79.17,20.93
t3.08,8,78.21,22.09
t3.08,9,77.11,21.72
t3.08,10,74.58,22.96
t3.08,11,74.93,21.84
t3.08,12,74.4,20.82
t3.08,13,66.21,18.63
t3.07,1,66.9,15.62
t3.07,2,68.01,16.9
t3.07,3,70.41,17.8
t3.07,4,71.17,18.13
t3.07,5,69.49,19.41
t3.07,6,66.78,18.28
t3.07,7,65.61,18.28
t3.07,8,63.59,19.53
t3.07,9,62.23,18.93
t3.07,10,62.93,20.25
t3.07,11,62.05,18.91
t3.07,12,58.59,19.46
t3.07,13,59.54,16.1
t3.05,1,77.33,19.03
t3.05,2,76.61,17.27
t3.05,3,74.05,19.03
t3.05,4,76.13,18.53
t3.05,5,71.27,18.28
t3.05,6,80.61,18.93
t3.05,7,70.73,19.73
t3.05,8,71.63,21.89
t3.05,9,73.58,23.94
t3.05,10,65.05,22.58
t3.05,11,64.96,21.54
t3.05,12,63.18,20.2
t3.05,13,62.75,15.6
t3.05,14,49.81,13.72
