specimen,hook,length,base
b9.02,1,57.57,12.86
b9.02,2,61.38,16.59
b9.02,3,63.5,17.84
b9.02,4,61.04,19.02
b9.02,5,60.04,19.86
b9.02,6,55.67,18.43
b9.02,7,53.91,19.86
b9.02,8,53.75,21.87
b9.02,9,52.38,21.2
b9.02,10,52.7,21.35
b9.02,11,44.2,14.39
b9.02,12,32.97,8.21
b9.01,1,52.89,10.06
b9.01,2,62.05,16.1
b9.01,3,63.18,15.49
b9.01,4,65.98,21.53
b9.01,5,67.63,22.1
b9.01,6,66.54,19.77
b9.01,7,65.03,20.97
b9.01,8,58.64,22.11
b9.01,9,61.07,22.1
b9.01,10,57.74,22.67
b9.01,11,55.67,22.69
b9.01,12,52.38,13.98
b9.01,13,39.29,9.52
