specimen,hook,length,base
_24.006,1,67.5,15
_24.006,2,75,16.5
_24.006,3,81,22.5
_24.006,4,79.5,24
_24.006,5,73.5,16
_24.015,1,63,15
_24.015,2,78,21
_24.015,3,86,23
_24.015,4,90,30
_24.015,5,69,21
_24.015,6,47,12
_24.032,1,60,14
_24.032,2,74,18
_24.032,3,84,13
_24.032,4,89,27
_24.032,5,75,26
_24.032,6,62,17
_24.034,1,62,14
_24.034,2,69,18
_24.034,3,77,23
_24.034,4,74,26
_24.034,5,62,21
_24.034,6,47,12
